trait,species,mean,max
Leaf.length,Senecio.prenanthoides,12,12
Leaf.length,Senecio.productus,7,7
Leaf.length,Senecio.pterophorus,10,10
Leaf.length,Senecio.quadridentatus,12,12
Leaf.length,Senecio.queenslandicus,10,10
Leaf.length,Senecio.runcinifolius,10,10
Leaf.length,Senecio.spathulatus,5,5
Leaf.length,Senecio.tamoides,7,7
Leaf.length,Senecio.tenuiflorus,10,10
Leaf.length,Senecio.tuberculatus,10,10
Leaf.length,Senecio.vagus,12,12
Leaf.length,Senecio.velleioides,12,12
Leaf.length,Senecio.vulgaris,8,8
Leaf.length,Setaria.australiensis,30,30
Leaf.length,Setaria.incrassata,60,60
Leaf.length,Setaria.italica,90,90
Leaf.length,Setaria.palmifolia,90,90
Leaf.length,Setaria.parviflora,25,25
Leaf.length,Setaria.paspalidioides,30,30
Leaf.length,Setaria.poiretiana,70,70
Leaf.length,Setaria.pumila,30,30
Leaf.length,Setaria.sphacelata,30,30
Leaf.length,Setaria.surgens,15,15
Leaf.length,Setaria.verticillata,30,30
Leaf.length,Setaria.viridis,30,30
Leaf.length,Silene.apetala,2.5,2.5
Leaf.length,Silene.chalcedonica,4,4
Leaf.length,Silene.coronaria,15,15
Leaf.length,Silene.dioica,8,8
Leaf.length,Silene.gallica,3.5,3.5
Leaf.length,Silene.latifolia,9,9
Leaf.length,Silene.noctiflora,11,11
Leaf.length,Silene.nocturna,4,4
Leaf.length,Silene.tridentata,4.5,4.5
Leaf.length,Silene.uniflora,4,4
Leaf.length,Silene.vulgaris,5,5
Leaf.length,Soliva.anthemifolia,13,13
Leaf.length,Soliva.sessilis,5,5
Leaf.length,Soliva.stolonifera,4,4
Leaf.length,Sonchus.asper,20,20
Leaf.length,Sonchus.hydrophilus,30,30
Leaf.length,Sonchus.oleraceus,35,35
Leaf.length,Stuartina.hamata,1.8,1.8
Leaf.length,Stuartina.muelleri,1.8,1.8
Leaf.length,Taraxacum.officinale,40,40
Leaf.length,Themeda.quadrivalvis,35,35
Leaf.length,Tolpis.barbata,11,11
Leaf.length,Tragopogon.dubius,50,50
Leaf.length,Tragopogon.porrifolius,30,30
Leaf.length,Tricoryne.anceps,3,3
Leaf.length,Tricoryne.elatior,10,10
Leaf.length,Tricoryne.simplex,25,25
Leaf.length,Trifolium.alexandrinum,5,5
Leaf.length,Trifolium.ambiguum,7,7
Leaf.length,Trifolium.angustifolium,5,5
Leaf.length,Trifolium.arvense,2,2
Leaf.length,Trifolium.campestre,1.6,1.6
Leaf.length,Trifolium.cernuum,1.5,1.5
Leaf.length,Trifolium.dubium,1,1
Leaf.length,Trifolium.fragiferum,3,3
Leaf.length,Trifolium.globosum,1.8,1.8
Leaf.length,Trifolium.glomeratum,1.5,1.5
Leaf.length,Trifolium.hirtum,1.5,1.5
Leaf.length,Trifolium.hybridum,3,3
Leaf.length,Trifolium.incarnatum,2,2
Leaf.length,Trifolium.ornithopodioides,1.4,1.4
Leaf.length,Trifolium.pratense,5,5
Leaf.length,Trifolium.repens,4,4
Leaf.length,Trifolium.resupinatum,3.3,3.3
Leaf.length,Trifolium.scabrum,1.1,1.1
Leaf.length,Trifolium.striatum,2.1,2.1
Leaf.length,Trifolium.subterraneum,2,2
Leaf.length,Trifolium.suffocatum,0.8,0.8
Leaf.length,Trifolium.tomentosum,1.5,1.5
Leaf.length,Trifolium.vesiculosum,4,4
Leaf.length,Triptilodiscus.pygmaeus,2,2
Leaf.length,Verbascum.blattaria,25,25
Leaf.length,Verbascum.sinuatum,35,35
Leaf.length,Verbascum.thapsus,50,50
Leaf.length,Verbascum.virgatum,30,30
Leaf.length,Vittadinia.arida,4,4
Leaf.length,Vittadinia.blackii,2,2
Leaf.length,Vittadinia.cervicularis,3.5,3.5
Leaf.length,Vittadinia.condyloides,2.2,2.2
Leaf.length,Vittadinia.cuneata,2.5,2.5
Leaf.length,Vittadinia.dissecta,2.5,2.5
Leaf.length,Vittadinia.eremaea,3,3
Leaf.length,Vittadinia.gracilis,4,4
Leaf.length,Vittadinia.hispidula,3,3
Leaf.length,Vittadinia.muelleri,4.5,4.5
Leaf.length,Vittadinia.pterochaeta,3.5,3.5
Leaf.length,Vittadinia.pustulata,2,2
Leaf.length,Vittadinia.sulcata,5,5
Leaf.length,Vittadinia.tenuissima,3.5,3.5
Leaf.length,Vulpia.ciliata,15,15
Leaf.length,Vulpia.muralis,10,10
Leaf.length,Vulpia.myuros,15,15
Leaf.length,Wahlenbergia.aridicola,5,5
Leaf.length,Wahlenbergia.ceracea,5,5
Leaf.length,Wahlenbergia.communis,8,8
Leaf.length,Wahlenbergia.densifolia,0.5,0.5
Leaf.length,Wahlenbergia.fluminalis,6,6
Leaf.length,Wahlenbergia.glabra,2.7,2.7
Leaf.length,Wahlenbergia.gloriosa,3.5,3.5
Leaf.length,Wahlenbergia.gracilenta,4,4
Leaf.length,Wahlenbergia.gracilis,6,6
Leaf.length,Wahlenbergia.graniticola,8,8
Leaf.length,Wahlenbergia.insulae-howei,2,2
Leaf.length,Wahlenbergia.littoricola,6,6
Leaf.length,Wahlenbergia.luteola,6,6
Leaf.length,Wahlenbergia.multicaulis,8,8
Leaf.length,Wahlenbergia.planiflora,9.5,9.5
Leaf.length,Wahlenbergia.queenslandica,6,6
Leaf.length,Wahlenbergia.scopulicola,2,2
Leaf.length,Wahlenbergia.stricta,7,7
Leaf.length,Wahlenbergia.tumidifructa,6,6
Leaf.length,Wahlenbergia.victoriensis,3.5,3.5
Leaf.length,Wurmbea.citrina,10,10
Leaf.length,Wurmbea.dioica,35,35
Leaf.width,Acaena.agnipila,10,10
Leaf.width,Acaena.anserovina,10,10
Leaf.width,Acaena.echinata,10,10
Leaf.width,Acetosella.vulgaris,30,30
Leaf.width,Aira.caryophyllea,0.3,0.3
Leaf.width,Aira.cupaniana,0.3,0.3
Leaf.width,Aira.elegantissima,0.8,0.8
Leaf.width,Aira.praecox,0.5,0.5
Leaf.width,Aira.provincialis,0.5,0.5
Leaf.width,Alternanthera.angustifolia,3,3
Leaf.width,Alternanthera.denticulata,8,8
Leaf.width,Alternanthera.nana,10,10
Leaf.width,Alternanthera.nodiflora,6,6
Leaf.width,Alternanthera.philoxeroides,20,20
Leaf.width,Alternanthera.pungens,10,10
Leaf.width,Anthosachne.scabra,5,5
Leaf.width,Anthoscachne.fertilis,5,5
Leaf.width,Anthoscachne.multiflora,7,7
Leaf.width,Anthoscachne.plurinervis,4,4
Leaf.width,Arctotheca.calendula,60,60
Leaf.width,Arctotheca.populifolia,50,50
Leaf.width,Arenaria.leptoclados,2.5,2.5
Leaf.width,Arenaria.serpyllifolia,3,3
Leaf.width,Aristida.acuta,2,2
Leaf.width,Aristida.anthoxanthoides,1,1
Leaf.width,Aristida.behriana,2,2
Leaf.width,Aristida.benthamii,3,3
Leaf.width,Aristida.blakei,3,3
Leaf.width,Aristida.calycina,1.5,1.5
Leaf.width,Aristida.caput-medusae,2,2
Leaf.width,Aristida.contorta,0.5,0.5
Leaf.width,Aristida.echinata,2.5,2.5
Leaf.width,Aristida.gracilipes,2,2
Leaf.width,Aristida.helicophylla,3,3
Leaf.width,Aristida.holathera,2,2
Leaf.width,Aristida.jerichoensis,1.5,1.5
Leaf.width,Aristida.latifolia,3.5,3.5
Leaf.width,Aristida.leichhardtiana,2,2
Leaf.width,Aristida.leptopoda,2,2
Leaf.width,Aristida.lignosa,4,4
Leaf.width,Aristida.muricata,2,2
Leaf.width,Aristida.obscura,1.5,1.5
Leaf.width,Aristida.personata,3,3
Leaf.width,Aristida.platychaeta,2,2
Leaf.width,Aristida.psammophila,1.3,1.3
Leaf.width,Aristida.queenslandica,2,2
Leaf.width,Aristida.ramosa,3,3
Leaf.width,Aristida.vagans,3,3
Leaf.width,Aristida.vickeryae,0.5,0.5
Leaf.width,Aristida.warburgii,2,2
Leaf.width,Austrostipa.acrociliata,10,10
Leaf.width,Austrostipa.aristiglumis,6,6
Leaf.width,Austrostipa.bigeniculata,3,3
Leaf.width,Austrostipa.blackii,5,5
Leaf.width,Austrostipa.densiflora,4.5,4.5
Leaf.width,Austrostipa.drummondii,6,6
Leaf.width,Austrostipa.elegantissima,2,2
Leaf.width,Austrostipa.eremophila,4,4
Leaf.width,Austrostipa.flavescens,7,7
Leaf.width,Austrostipa.gibbosa,5,5
Leaf.width,Austrostipa.mollis,3,3
Leaf.width,Austrostipa.nitida,2,2
Leaf.width,Austrostipa.nodosa,3,3
Leaf.width,Austrostipa.platychaeta,9,9
Leaf.width,Austrostipa.puberula,2,2
Leaf.width,Austrostipa.pubescens,4,4
Leaf.width,Austrostipa.pubinodis,2,2
Leaf.width,Austrostipa.ramosissima,10,10
Leaf.width,Austrostipa.rudis,5,5
Leaf.width,Austrostipa.scabra,2,2
Leaf.width,Austrostipa.semibarbata,7,7
Leaf.width,Austrostipa.setacea,1.5,1.5
Leaf.width,Austrostipa.stipoides,1.1,1.1
Leaf.width,Austrostipa.stuposa,4,4
Leaf.width,Austrostipa.trichophylla,0.5,0.5
Leaf.width,Austrostipa.tuckeri,1.2,1.2
Leaf.width,Avena.byzantina,15,15
Leaf.width,Avena.ludoviciana,18,18
Leaf.width,Avena.sativa,20,20
Leaf.width,Avena.sterilis,13,13
Leaf.width,Avena.strigosa,12,12
Leaf.width,Bothriochloa.bladhii,8,8
Leaf.width,Bothriochloa.decipiens,4,4
Leaf.width,Bothriochloa.erianthoides,8,8
Leaf.width,Bothriochloa.ewartiana,6,6
Leaf.width,Bothriochloa.insculpta,8,8
Leaf.width,Bothriochloa.macra,5.5,5.5
Leaf.width,Brachyscome.abercrombiensis,20,20
Leaf.width,Brachyscome.aculeata,20,20
Leaf.width,Brachyscome.ascendens,12,12
Leaf.width,Brachyscome.barkerae,3.5,3.5
Leaf.width,Brachyscome.brownii,13,13
Leaf.width,Brachyscome.chrysoglossa,18,18
Leaf.width,Brachyscome.curvicarpa,4,4
Leaf.width,Brachyscome.dalbyensis,0.8,0.8
Leaf.width,Brachyscome.decipiens,20,20
Leaf.width,Brachyscome.dentata,10,10
Leaf.width,Brachyscome.exilis,8,8
Leaf.width,Brachyscome.foliosa,11,11
Leaf.width,Brachyscome.formosa,20,20
Leaf.width,Brachyscome.goniocarpa,6,6
Leaf.width,Brachyscome.gracilis,2.5,2.5
Leaf.width,Brachyscome.graminea,10,10
Leaf.width,Brachyscome.melanocarpa,10,10
Leaf.width,Brachyscome.mittagongensis,11,11
Leaf.width,Brachyscome.muelleroides,1,1
Leaf.width,Brachyscome.multifida,3.5,3.5
Leaf.width,Brachyscome.nodosa,2.5,2.5
Leaf.width,Brachyscome.nova-anglica,9,9
Leaf.width,Brachyscome.obovata,3,3
Leaf.width,Brachyscome.paludicola,2.5,2.5
Leaf.width,Brachyscome.procumbens,35,35
Leaf.width,Brachyscome.radicans,3,3
Leaf.width,Brachyscome.scapigera,15,15
Leaf.width,Brachyscome.segmentosa,25,25
Leaf.width,Brachyscome.staceae,20,20
Leaf.width,Brachyscome.tenuiscapa,18,18
Leaf.width,Brachyscome.trachycarpa,1.5,1.5
Leaf.width,Brachyscome.whitei,20,20
Leaf.width,Briza.maxima,7,7
Leaf.width,Briza.minor,10,10
Leaf.width,Briza.subaristata,2.5,2.5
Leaf.width,Bromus.alopecuros,4,4
Leaf.width,Bromus.arenarius,4,4
Leaf.width,Bromus.brevis,5,5
Leaf.width,Bromus.catharticus,8,8
Leaf.width,Bromus.diandrus,10,10
Leaf.width,Bromus.hordeaceus,7,7
Leaf.width,Bromus.madritensis,5,5
Leaf.width,Bromus.molliformis,6,6
Leaf.width,Bromus.racemosus,6,6
Leaf.width,Bromus.rubens,5,5
Leaf.width,Bromus.secalinus,4,4
Leaf.width,Bromus.sterilis,6,6
Leaf.width,Bromus.tectorum,4,4
Leaf.width,Bulbine.alata,3,3
Leaf.width,Bulbine.glauca,10,10
Leaf.width,Bulbine.semibarbata,5,5
Leaf.width,Bulbine.vagans,6,6
Leaf.width,Carduus.pycnocephalus,80,80
Leaf.width,Carduus.tenuiflorus,80,80
Leaf.width,Carex.appressa,12,12
Leaf.width,Carex.archeri,0.5,0.5
Leaf.width,Carex.arenaria,3.5,3.5
Leaf.width,Carex.bichenoviana,8,8
Leaf.width,Carex.blakei,6,6
Leaf.width,Carex.breviculmis,3,3
Leaf.width,Carex.brownii,6,6
Leaf.width,Carex.brunnea,4,4
Leaf.width,Carex.buxbaumii,3,3
Leaf.width,Carex.canescens,4,4
Leaf.width,Carex.capillacea,0.5,0.5
Leaf.width,Carex.cephalotes,1.2,1.2
Leaf.width,Carex.chlorantha,1.7,1.7
Leaf.width,Carex.declinata,10,10
Leaf.width,Carex.disticha,4,4
Leaf.width,Carex.divulsa,3,3
Leaf.width,Carex.echinata,1.5,1.5
Leaf.width,Carex.fascicularis,11,11
Leaf.width,Carex.gaudichaudiana,4,4
Leaf.width,Carex.hebes,2.5,2.5
Leaf.width,Carex.hubbardii,4.5,4.5
Leaf.width,Carex.hypandra,3.5,3.5
Leaf.width,Carex.incomitata,8,8
Leaf.width,Carex.inversa,2,2
Leaf.width,Carex.iynx,6,6
Leaf.width,Carex.jackiana,5,5
Leaf.width,Carex.klaphakei,1.5,1.5
Leaf.width,Carex.leporina,3.5,3.5
Leaf.width,Carex.lobolepis,8,8
Leaf.width,Carex.longebrachiata,4,4
Leaf.width,Carex.lophocarpa,5,5
Leaf.width,Carex.maculata,8,8
Leaf.width,Carex.polyantha,9,9
Leaf.width,Carex.pumila,6,6
Leaf.width,Carex.raleighii,1,1
Leaf.width,Carex.tereticaulis,4,4
Leaf.width,Centaurium.erythraea,20,20
Leaf.width,Centaurium.tenuifolia,15,15
Leaf.width,Cerastium.balearicum,3,3
Leaf.width,Cerastium.glomeratum,9,9
Leaf.width,Cheilanthes.austrotenuifolia.vulgare,10,10
Leaf.width,Cheilanthes.fontanum,10,10
Leaf.width,Chloris.divaricata,4,4
Leaf.width,Chloris.gayana,10,10
Leaf.width,Chloris.pectinata,5,5
Leaf.width,Chloris.truncata,5,5
Leaf.width,Chloris.ventricosa,3,3
Leaf.width,Chloris.virgata,7,7
Leaf.width,Chondrilla.juncea,50,50
Leaf.width,Cicendia.filiformis,2,2
Leaf.width,Cicendia.quadrangularis,3,3
Leaf.width,Convolvulus.angustissimus,40,40
Leaf.width,Convolvulus.arvensis,30,30
Leaf.width,Convolvulus.clementii,20,20
Leaf.width,Convolvulus.crispifolius,18,18
Leaf.width,Convolvulus.erubescens,40,40
Leaf.width,Convolvulus.farinosus,60,60
Leaf.width,Convolvulus.graminetinus,16,16
Leaf.width,Convolvulus.microsepalus,20,20
Leaf.width,Convolvulus.recurvatus,20,20
Leaf.width,Convolvulus.remotus,40,40
Leaf.width,Convolvulus.tedmoorei,40,40
Leaf.width,Convolvulus.wimmerensis,20,20
Leaf.width,Conyza.bilbaoana,8,8
Leaf.width,Conyza.bonariensis,15,15
Leaf.width,Conyza.canadensis,8,8
Leaf.width,Conyza.leucantha,18,18
Leaf.width,Conyza.parva,5,5
Leaf.width,Conyza.primulifolia,35,35
Leaf.width,Conyza.sumatrensis,12,12
Leaf.width,Cotula.alpina,6,6
Leaf.width,Cotula.australis,10,10
Leaf.width,Cotula.bipinnata,20,20
Leaf.width,Crassula.colorata,3,3
Leaf.width,Crassula.decumbens,2,2
Leaf.width,Crassula.helmsii,3,3
Leaf.width,Crassula.multicava,40,40
Leaf.width,Crassula.peduncularis,1,1
Leaf.width,Crassula.sarmentosa,20,20
Leaf.width,Crassula.sieberiana,3,3
Leaf.width,Crassula.tetragona,5,5
Leaf.width,Crepis.capillaris,50,50
Leaf.width,Crepis.foetida,30,30
Leaf.width,Crepis.setosa,50,50
Leaf.width,Cymbonotus.lawsonianus,90,90
Leaf.width,Cymbonotus.preissianus,100,100
Leaf.width,Cynodon.dactylon,4,4
Leaf.width,Cynodon.incompletus,3,3
Leaf.width,Cynodon.transvaalensis,1,1
Leaf.width,Cynoglossum.australe,15,15
Leaf.width,Cynoglossum.creticum,35,35
Leaf.width,Cynoglossum.suaveolens,25,25
Leaf.width,Dactylis.glomerata,14,14
Leaf.width,Desmodium.acanthocladum,6,6
Leaf.width,Desmodium.brachypodum,40,40
Leaf.width,Desmodium.campylocaulon,20,20
Leaf.width,Desmodium.gangeticum,60,60
Leaf.width,Desmodium.gunnii,11,11
Leaf.width,Desmodium.heterocarpon,45,45
Leaf.width,Desmodium.intortum,60,60
Leaf.width,Desmodium.nemorosum,35,35
Leaf.width,Desmodium.rhytidophyllum,35,35
Leaf.width,Desmodium.uncinatum,60,60
Leaf.width,Desmodium.varians,20,20
Leaf.width,Dichanthium.annulatum,7,7
Leaf.width,Dichanthium.aristatum,5,5
Leaf.width,Dichanthium.sericeum,4,4
Leaf.width,Dichanthium.setosum,3.5,3.5
Leaf.width,Dichanthium.tenue,3.5,3.5
Leaf.width,Digitaria.aequiglumis,3,3
Leaf.width,Digitaria.ammophila,5,5
Leaf.width,Digitaria.breviglumis,3,3
Leaf.width,Digitaria.brownii,5,5
Leaf.width,Digitaria.ciliaris,10,10
Leaf.width,Digitaria.coenicola,6,6
Leaf.width,Digitaria.didactyla,3,3
Leaf.width,Digitaria.diffusa,5,5
Leaf.width,Digitaria.divaricatissima,6,6
Leaf.width,Digitaria.hubbardii,2,2
Leaf.width,Digitaria.hystrichoides,6,6
Leaf.width,Digitaria.ischaemum,5,5
Leaf.width,Digitaria.leucostachya,5,5
Leaf.width,Digitaria.longiflora,4,4
Leaf.width,Digitaria.orbata,5.5,5.5
Leaf.width,Digitaria.parviflora,5,5
Leaf.width,Digitaria.porrecta,3,3
Leaf.width,Digitaria.ramularis,7,7
Leaf.width,Digitaria.sanguinalis,8,8
Leaf.width,Digitaria.ternata,6,6
Leaf.width,Digitaria.velutina,17,17
Leaf.width,Digitaria.violascens,6,6
Leaf.width,Drosera.auriculata,6,6
Leaf.width,Drosera.burmanni,6,6
Leaf.width,Drosera.capensis,4,4
Leaf.width,Drosera.glanduligera,12,12
Leaf.width,Drosera.pygmaea,2,2
Leaf.width,Drosera.spatulata,6,6
Leaf.width,Echium.italicum,35,35
Leaf.width,Echium.plantagineum,80,80
Leaf.width,Echium.vulgare,15,15
Leaf.width,Eleusine.indica,8,8
Leaf.width,Eleusine.tristachya,4,4
Leaf.width,Enneapogon.nigricans,4,4
Leaf.width,Enneapogon.nigricans.avenaceus,4,4
Leaf.width,Enneapogon.nigricans.cylindricus,3,3
Leaf.width,Enneapogon.nigricans.gracilis,3,3
Leaf.width,Enneapogon.nigricans.intermedius,4,4
Leaf.width,Enneapogon.nigricans.lindleyanus,3,3
Leaf.width,Enneapogon.nigricans.polyphyllus,4,4
Leaf.width,Enneapogon.nigricans.truncatus,2.5,2.5
Leaf.width,Enneapogon.nigricans.virens,4,4
Leaf.width,Epilobium.billardierianum,18,18
Leaf.width,Epilobium.ciliatum,24,24
Leaf.width,Epilobium.curtisiae,9,9
Leaf.width,Epilobium.gunnianum,20,20
Leaf.width,Epilobium.hirsutum,40,40
Leaf.width,Epilobium.hirtigerum,8,8
Leaf.width,Epilobium.pallidiflorum,13,13
Leaf.width,Epilobium.sarmentaceum,15,15
Leaf.width,Epilobium.tasmanicum,5,5
Leaf.width,Eragrostis.alveiformis,3,3
Leaf.width,Eragrostis.australasica,3,3
Leaf.width,Eragrostis.barrelieri,3,3
Leaf.width,Eragrostis.basedowii,3,3
Leaf.width,Eragrostis.benthamii,3,3
Leaf.width,Eragrostis.brownii,1,1
Leaf.width,Eragrostis.cilianensis,7,7
Leaf.width,Eragrostis.curvula,3,3
Leaf.width,Eragrostis.dielsii,2,2
Leaf.width,Eragrostis.elongata,2,2
Leaf.width,Eragrostis.eriopoda,1,1
Leaf.width,Eragrostis.falcata,1,1
Leaf.width,Eragrostis.interrupta,5,5
Leaf.width,Eragrostis.kennedyae,1,1
Leaf.width,Eragrostis.lacunaria,2,2
Leaf.width,Eragrostis.laniflora,2,2
Leaf.width,Eragrostis.leptocarpa,3,3
Leaf.width,Eragrostis.leptostachya,2,2
Leaf.width,Eragrostis.lugens,1,1
Leaf.width,Eragrostis.megalosperma,1,1
Leaf.width,Eragrostis.mexicana,10,10
Leaf.width,Eragrostis.microcarpa,2,2
Leaf.width,Eragrostis.minor,6,6
Leaf.width,Eragrostis.parviflora,3,3
Leaf.width,Eragrostis.pergracilis,1,1
Leaf.width,Eragrostis.pilosa,3,3
Leaf.width,Eragrostis.pubescens,4,4
Leaf.width,Eragrostis.setifolia,2,2
Leaf.width,Eragrostis.sororia,3,3
Leaf.width,Eragrostis.spartinoides,2.5,2.5
Leaf.width,Eragrostis.speciosa,1,1
Leaf.width,Eragrostis.tenellula,4,4
Leaf.width,Eragrostis.tenuifolia,3,3
Leaf.width,Eragrostis.trachycarpa,3,3
Leaf.width,Eragrostis.trichophora,4,4
Leaf.width,Eragrostis.xerophila,3,3
Leaf.width,Erodium.aureum,15,15
Leaf.width,Erodium.botrys,40,40
Leaf.width,Erodium.brachycarpum,30,30
Leaf.width,Erodium.carolinianum,40,40
Leaf.width,Erodium.cicutarium,30,30
Leaf.width,Erodium.crinitum,30,30
Leaf.width,Erodium.malacoides,40,40
Leaf.width,Erodium.moschatum,40,40
Leaf.width,Euchiton.involucratus,10,10
Leaf.width,Euchiton.japonicus,10,10
Leaf.width,Euchiton.limosus,10,10
Leaf.width,Euchiton.sphaericus,14,14
Leaf.width,Euchiton.traversii,5,5
Leaf.width,Euchiton.umbricola,18,18
Leaf.width,Euphorbia.bifida,9,9
Leaf.width,Euphorbia.dallachyana,5,5
Leaf.width,Euphorbia.davidii,20,20
Leaf.width,Euphorbia.drummondii,5,5
Leaf.width,Euphorbia.falcata,5,5
Leaf.width,Euphorbia.hirta,20,20
Leaf.width,Euphorbia.hyssopifolia,10,10
Leaf.width,Euphorbia.lathyris,12,12
Leaf.width,Euphorbia.maculata,4,4
Leaf.width,Euphorbia.marginata,2.5,2.5
Leaf.width,Euphorbia.oblongata,20,20
Leaf.width,Euphorbia.ophthalmica,12,12
Leaf.width,Euphorbia.paralias,15,15
Leaf.width,Euphorbia.planiticola,5,5
Leaf.width,Euphorbia.prostrata,5,5
Leaf.width,Euphorbia.psammogeton,15,15
Leaf.width,Euphorbia.sarcostemmoides,1.5,1.5
Leaf.width,Euphorbia.stevenii,6,6
Leaf.width,Euphorbia.terracina,8,8
Leaf.width,Festuca.arundinacea,10,10
Leaf.width,Festuca.muelleri,8,8
Leaf.width,Festuca.pratensis,5,5
Leaf.width,Galium.aparine,8,8
Leaf.width,Galium.australe,4,4
Leaf.width,Galium.binifolium,3,3
Leaf.width,Galium.bungoniensis,4,4
Leaf.width,Galium.ciliare,4,4
Leaf.width,Galium.gaudichaudii,1.3,1.3
Leaf.width,Galium.leiocarpum,5,5
Leaf.width,Galium.leptogonium,6,6
Leaf.width,Galium.liratum,5,5
Leaf.width,Galium.microlobum,2,2
Leaf.width,Galium.murale,2,2
Leaf.width,Galium.palustre,2,2
Leaf.width,Galium.polyanthum,6,6
Leaf.width,Galium.roddii,1.2,1.2
Leaf.width,Galium.spurium,8,8
Leaf.width,Galium.tricornutum,4,4
Leaf.width,Gamochaeta.americana,20,20
Leaf.width,Gamochaeta.antillana,5,5
Leaf.width,Gamochaeta.calviceps,8,8
Leaf.width,Gamochaeta.coarctata,16,16
Leaf.width,Gamochaeta.pensylvanica,18,18
Leaf.width,Gamochaeta.purpurea,20,20
Leaf.width,Geranium.antrorsum,30,30
Leaf.width,Geranium.dissectum,40,40
Leaf.width,Geranium.graniticola,40,40
Leaf.width,Geranium.homeanum,50,50
Leaf.width,Geranium.molle,40,40
Leaf.width,Geranium.neglectum,5.5,5.5
Leaf.width,Geranium.obtusisepalum,30,30
Leaf.width,Geranium.potentilloides,50,50
Leaf.width,Geranium.purpureum,70,70
Leaf.width,Geranium.retrorsum,30,30
Leaf.width,Geranium.sessiliflorum,30,30
Leaf.width,Geranium.solanderi,50,50
Leaf.width,Glycine.canescens,12,12
Leaf.width,Glycine.clandestina,10,10
Leaf.width,Glycine.cyrtoloba,15,15
Leaf.width,Glycine.latifolia,33,33
Leaf.width,Glycine.microphylla,6,6
Leaf.width,Glycine.pacifica,13,13
Leaf.width,Glycine.rubiginosa,5,5
Leaf.width,Glycine.stenophita,8,8
Leaf.width,Glycine.tabacina,20,20
Leaf.width,Glycine.tomentella,35,35
Leaf.width,Gnaphalium.diamantinense,3,3
Leaf.width,Gnaphalium.indutum,2,2
Leaf.width,Gnaphalium.polycaulon,9,9
Leaf.width,Haloragis.aspera,15,15
Leaf.width,Haloragis.exalata,25,25
Leaf.width,Haloragis.glauca,8,8
Leaf.width,Haloragis.milesiae,42,42
Leaf.width,Haloragis.odontocarpa,15,15
Leaf.width,Haloragis.serra,8,8
Leaf.width,Haloragis.stricta,4,4
Leaf.width,Holcus.lanatus,10,10
Leaf.width,Holcus.mollis,8,8
